source,target,approximate,no map,combination,scenario,choice list,target_descriptions,source_descriptions
34700,G47419,0,0,0,0,0,Narcolepsy without cataplexy,"Narcolepsy, without cataplexy"
34701,G47411,0,0,0,0,0,Narcolepsy with cataplexy,"Narcolepsy, with cataplexy"
34710,G47429,0,0,0,0,0,Narcolepsy in conditions classified elsewhere without cataplexy,"Narcolepsy in conditions classified elsewhere, without cataplexy"
34711,G47421,0,0,0,0,0,Narcolepsy in conditions classified elsewhere with cataplexy,"Narcolepsy in conditions classified elsewhere, with cataplexy"
3480,G930,0,0,0,0,0,Cerebral cysts,Cerebral cysts
3481,G931,0,0,0,0,0,"Anoxic brain damage, not elsewhere classified",Anoxic brain damage
3482,G932,0,0,0,0,0,Benign intracranial hypertension,Benign intracranial hypertension
34830,G9340,0,0,0,0,0,"Encephalopathy, unspecified","Encephalopathy, unspecified"
34831,G9341,0,0,0,0,0,Metabolic encephalopathy,Metabolic encephalopathy
34839,G9349,1,0,0,0,0,Other encephalopathy,Other encephalopathy
34839,I6783,1,0,0,0,0,Posterior reversible encephalopathy syndrome,Other encephalopathy
3484,G935,0,0,0,0,0,Compression of brain,Compression of brain
3485,G936,1,0,0,0,0,Cerebral edema,Cerebral edema
34881,G9381,0,0,0,0,0,Temporal sclerosis,Temporal sclerosis
34882,G9382,0,0,0,0,0,Brain death,Brain death
34889,G9389,1,0,0,0,0,Other specified disorders of brain,Other conditions of brain
3489,G939,1,0,0,0,0,"Disorder of brain, unspecified",Unspecified condition of brain
3490,G971,1,0,0,0,0,Other reaction to spinal and lumbar puncture,Reaction to spinal or lumbar puncture
3491,G9782,1,0,0,0,0,Other postprocedural complications and disorders of nervous system,Nervous system complications from surgically implanted device
3492,G9612,1,0,0,0,0,Meningeal adhesions (cerebral) (spinal),"Disorders of meninges, not elsewhere classified"
3492,G9619,1,0,0,0,0,"Other disorders of meninges, not elsewhere classified","Disorders of meninges, not elsewhere classified"
34931,G9741,0,0,0,0,0,Accidental puncture or laceration of dura during a procedure,Accidental puncture or laceration of dura during a procedure
34939,G9611,0,0,0,0,0,Dural tear,Other dural tear
34981,G960,1,0,0,0,0,Cerebrospinal fluid leak,Cerebrospinal fluid rhinorrhea
34982,G92,1,0,0,0,0,Toxic encephalopathy,Toxic encephalopathy
34989,G968,1,0,0,0,0,Other specified disorders of central nervous system,Other specified disorders of nervous system
34989,G988,1,0,0,0,0,Other disorders of nervous system,Other specified disorders of nervous system
3499,G969,1,0,0,0,0,"Disorder of central nervous system, unspecified",Unspecified disorders of nervous system
3501,G500,0,0,0,0,0,Trigeminal neuralgia,Trigeminal neuralgia
3502,G501,0,0,0,0,0,Atypical facial pain,Atypical face pain
3508,G508,0,0,0,0,0,Other disorders of trigeminal nerve,Other specified trigeminal nerve disorders
3509,G509,0,0,0,0,0,"Disorder of trigeminal nerve, unspecified","Trigeminal nerve disorder, unspecified"
3510,G510,0,0,0,0,0,Bell's palsy,Bell's palsy
3511,G511,0,0,0,0,0,Geniculate ganglionitis,Geniculate ganglionitis
3518,G512,1,0,0,0,0,Melkersson's syndrome,Other facial nerve disorders
3518,G514,1,0,0,0,0,Facial myokymia,Other facial nerve disorders
3518,G518,1,0,0,0,0,Other disorders of facial nerve,Other facial nerve disorders
3519,G519,0,0,0,0,0,"Disorder of facial nerve, unspecified","Facial nerve disorder, unspecified"
3520,G520,0,0,0,0,0,Disorders of olfactory nerve,Disorders of olfactory (1st) nerve
3521,G521,1,0,0,0,0,Disorders of glossopharyngeal nerve,Glossopharyngeal neuralgia
3522,G521,1,0,0,0,0,Disorders of glossopharyngeal nerve,Other disorders of glossopharyngeal [9th] nerve
3523,G522,0,0,0,0,0,Disorders of vagus nerve,Disorders of pneumogastric [10th] nerve
3524,G528,1,0,0,0,0,Disorders of other specified cranial nerves,Disorders of accessory [11th] nerve
3525,G523,0,0,0,0,0,Disorders of hypoglossal nerve,Disorders of hypoglossal [12th] nerve
3526,G527,1,0,0,0,0,Disorders of multiple cranial nerves,Multiple cranial nerve palsies
3529,G529,1,0,0,0,0,"Cranial nerve disorder, unspecified",Unspecified disorder of cranial nerves
3530,G540,1,0,0,0,0,Brachial plexus disorders,Brachial plexus lesions
3531,G541,1,0,0,0,0,Lumbosacral plexus disorders,Lumbosacral plexus lesions
3532,G542,1,0,0,0,0,"Cervical root disorders, not elsewhere classified","Cervical root lesions, not elsewhere classified"
3533,G543,1,0,0,0,0,"Thoracic root disorders, not elsewhere classified","Thoracic root lesions, not elsewhere classified"
3534,G544,1,0,0,0,0,"Lumbosacral root disorders, not elsewhere classified","Lumbosacral root lesions, not elsewhere classified"
3535,G545,1,0,0,0,0,Neuralgic amyotrophy,Neuralgic amyotrophy
3536,G546,1,0,0,0,0,Phantom limb syndrome with pain,Phantom limb (syndrome)
3536,G547,1,0,0,0,0,Phantom limb syndrome without pain,Phantom limb (syndrome)
3538,G548,1,0,0,0,0,Other nerve root and plexus disorders,Other nerve root and plexus disorders
3539,G549,0,0,0,0,0,"Nerve root and plexus disorder, unspecified",Unspecified nerve root and plexus disorder
3540,G5600,1,0,0,0,0,"Carpal tunnel syndrome, unspecified upper limb",Carpal tunnel syndrome
3541,G5610,1,0,0,0,0,"Other lesions of median nerve, unspecified upper limb",Other lesion of median nerve
3542,G5620,1,0,0,0,0,"Lesion of ulnar nerve, unspecified upper limb",Lesion of ulnar nerve
3543,G5630,1,0,0,0,0,"Lesion of radial nerve, unspecified upper limb",Lesion of radial nerve
3544,G5640,1,0,0,0,0,Causalgia of unspecified upper limb,Causalgia of upper limb
3545,G587,0,0,0,0,0,Mononeuritis multiplex,Mononeuritis multiplex
3548,G5680,1,0,0,0,0,Other specified mononeuropathies of unspecified upper limb,Other mononeuritis of upper limb
3549,G5690,1,0,0,0,0,Unspecified mononeuropathy of unspecified upper limb,"Mononeuritis of upper limb, unspecified"
3550,G5700,1,0,0,0,0,"Lesion of sciatic nerve, unspecified lower limb",Lesion of sciatic nerve
3551,G5710,1,0,0,0,0,"Meralgia paresthetica, unspecified lower limb",Meralgia paresthetica
3552,G5720,1,0,0,0,0,"Lesion of femoral nerve, unspecified lower limb",Other lesion of femoral nerve
3553,G5730,1,0,0,0,0,"Lesion of lateral popliteal nerve, unspecified lower limb",Lesion of lateral popliteal nerve
3554,G5740,1,0,0,0,0,"Lesion of medial popliteal nerve, unspecified lower limb",Lesion of medial popliteal nerve
3555,G5750,1,0,0,0,0,"Tarsal tunnel syndrome, unspecified lower limb",Tarsal tunnel syndrome
3556,G5760,1,0,0,0,0,"Lesion of plantar nerve, unspecified lower limb",Lesion of plantar nerve
35571,G5770,1,0,0,0,0,Causalgia of unspecified lower limb,Causalgia of lower limb
35579,G5780,1,0,0,0,0,Other specified mononeuropathies of unspecified lower limb,Other mononeuritis of lower limb
3558,G5790,1,0,0,0,0,Unspecified mononeuropathy of unspecified lower limb,"Mononeuritis of lower limb, unspecified"
3559,G589,1,0,0,0,0,"Mononeuropathy, unspecified",Mononeuritis of unspecified site
3560,G600,1,0,0,0,0,Hereditary motor and sensory neuropathy,Hereditary peripheral neuropathy
3561,G600,1,0,0,0,0,Hereditary motor and sensory neuropathy,Peroneal muscular atrophy
3562,G600,1,0,0,0,0,Hereditary motor and sensory neuropathy,Hereditary sensory neuropathy
3563,G601,0,0,0,0,0,Refsum's disease,Refsum's disease
3564,G603,0,0,0,0,0,Idiopathic progressive neuropathy,Idiopathic progressive polyneuropathy
3568,G608,1,0,0,0,0,Other hereditary and idiopathic neuropathies,Other specified idiopathic peripheral neuropathy
3569,G609,1,0,0,0,0,"Hereditary and idiopathic neuropathy, unspecified",Unspecified hereditary and idiopathic peripheral neuropathy
3570,G610,0,0,0,0,0,Guillain-Barre syndrome,Acute infective polyneuritis
3571,G63,1,0,0,0,0,Polyneuropathy in diseases classified elsewhere,Polyneuropathy in collagen vascular disease
3572,E0842,1,0,0,0,0,Diabetes mellitus due to underlying condition with diabetic polyneuropathy,Polyneuropathy in diabetes
3572,E0942,1,0,0,0,0,Drug or chemical induced diabetes mellitus with neurological complications with diabetic polyneuropathy,Polyneuropathy in diabetes
3572,E1042,1,0,0,0,0,Type 1 diabetes mellitus with diabetic polyneuropathy,Polyneuropathy in diabetes
3572,E1142,1,0,0,0,0,Type 2 diabetes mellitus with diabetic polyneuropathy,Polyneuropathy in diabetes
3572,E1342,1,0,0,0,0,Other specified diabetes mellitus with diabetic polyneuropathy,Polyneuropathy in diabetes
3573,G63,1,0,0,0,0,Polyneuropathy in diseases classified elsewhere,Polyneuropathy in malignant disease
3574,G63,1,0,0,0,0,Polyneuropathy in diseases classified elsewhere,Polyneuropathy in other diseases classified elsewhere
3575,G621,0,0,0,0,0,Alcoholic polyneuropathy,Alcoholic polyneuropathy
3576,G620,0,0,0,0,0,Drug-induced polyneuropathy,Polyneuropathy due to drugs
3577,G622,1,0,0,0,0,Polyneuropathy due to other toxic agents,Polyneuropathy due to other toxic agents
35781,G6181,0,0,0,0,0,Chronic inflammatory demyelinating polyneuritis,Chronic inflammatory demyelinating polyneuritis
35782,G6281,0,0,0,0,0,Critical illness polyneuropathy,Critical illness polyneuropathy
35789,G6182,1,0,0,0,0,Multifocal motor neuropathy,Other inflammatory and toxic neuropathy
35789,G6189,1,0,0,0,0,Other inflammatory polyneuropathies,Other inflammatory and toxic neuropathy
3579,G619,1,0,0,0,0,"Inflammatory polyneuropathy, unspecified",Unspecified inflammatory and toxic neuropathy
35800,G7000,0,0,0,0,0,Myasthenia gravis without (acute) exacerbation,Myasthenia gravis without (acute) exacerbation
35801,G7001,0,0,0,0,0,Myasthenia gravis with (acute) exacerbation,Myasthenia gravis with (acute) exacerbation
3581,G733,0,0,0,0,0,Myasthenic syndromes in other diseases classified elsewhere,Myasthenic syndromes in diseases classified elsewhere
3582,G701,0,0,0,0,0,Toxic myoneural disorders,Toxic myoneural disorders
35830,G7080,0,0,0,0,0,"Lambert-Eaton syndrome, unspecified","Lambert-Eaton syndrome, unspecified"
35831,G731,0,0,0,0,0,Lambert-Eaton syndrome in neoplastic disease,Lambert-Eaton syndrome in neoplastic disease
35839,G7081,0,0,0,0,0,Lambert-Eaton syndrome in disease classified elsewhere,Lambert-Eaton syndrome in other diseases classified elsewhere
3588,G702,1,0,0,0,0,Congenital and developmental myasthenia,Other specified myoneural disorders
3588,G7089,1,0,0,0,0,Other specified myoneural disorders,Other specified myoneural disorders
3589,G709,0,0,0,0,0,"Myoneural disorder, unspecified","Myoneural disorders, unspecified"
3590,G712,1,0,0,0,0,Congenital myopathies,Congenital hereditary muscular dystrophy
3591,G710,0,0,0,0,0,Muscular dystrophy,Hereditary progressive muscular dystrophy
35921,G7111,0,0,0,0,0,Myotonic muscular dystrophy,Myotonic muscular dystrophy
35922,G7112,0,0,0,0,0,Myotonia congenita,Myotonia congenita
35923,G7113,0,0,0,0,0,Myotonic chondrodystrophy,Myotonic chondrodystrophy
35924,G7114,0,0,0,0,0,Drug induced myotonia,Drug- induced myotonia
35929,G7119,0,0,0,0,0,Other specified myotonic disorders,Other specified myotonic disorder
3593,G723,0,0,0,0,0,Periodic paralysis,Periodic paralysis
3594,G722,1,0,0,0,0,Myopathy due to other toxic agents,Toxic myopathy
3595,G737,1,0,0,0,0,Myopathy in diseases classified elsewhere,Myopathy in endocrine diseases classified elsewhere
3596,G737,1,0,0,0,0,Myopathy in diseases classified elsewhere,Symptomatic inflammatory myopathy in diseases classified elsewhere
35971,G7241,0,0,0,0,0,Inclusion body myositis [IBM],Inclusion body myositis
35979,G7249,1,0,0,0,0,"Other inflammatory and immune myopathies, not elsewhere classified","Other inflammatory and immune myopathies, NEC"
35981,G7281,0,0,0,0,0,Critical illness myopathy,Critical illness myopathy
35989,G7289,1,0,0,0,0,Other specified myopathies,Other myopathies
3599,G729,1,0,0,0,0,"Myopathy, unspecified","Myopathy, unspecified"
36000,H44009,1,0,0,0,0,"Unspecified purulent endophthalmitis, unspecified eye","Purulent endophthalmitis, unspecified"
36001,H44009,1,0,0,0,0,"Unspecified purulent endophthalmitis, unspecified eye",Acute endophthalmitis
36002,H44019,1,0,0,0,0,"Panophthalmitis (acute), unspecified eye",Panophthalmitis
36003,H44009,1,0,0,0,0,"Unspecified purulent endophthalmitis, unspecified eye",Chronic endophthalmitis
36004,H44029,1,0,0,0,0,"Vitreous abscess (chronic), unspecified eye",Vitreous abscess
36011,H44139,1,0,0,0,0,"Sympathetic uveitis, unspecified eye",Sympathetic uveitis
36012,H44119,1,0,0,0,0,"Panuveitis, unspecified eye",Panuveitis
36013,H33129,1,0,0,0,0,"Parasitic cyst of retina, unspecified eye",Parasitic endophthalmitis NOS
36013,H44129,1,0,0,0,0,"Parasitic endophthalmitis, unspecified, unspecified eye",Parasitic endophthalmitis NOS
36014,H16249,1,0,0,0,0,"Ophthalmia nodosa, unspecified eye",Ophthalmia nodosa
36019,H4419,0,0,0,0,0,Other endophthalmitis,Other endophthalmitis
36020,H4430,0,0,0,0,0,Unspecified degenerative disorder of globe,"Degenerative disorder of globe, unspecified"
36021,H4420,1,0,0,0,0,"Degenerative myopia, unspecified eye",Progressive high (degenerative) myopia
36021,H4421,1,0,0,0,0,"Degenerative myopia, right eye",Progressive high (degenerative) myopia
36021,H4422,1,0,0,0,0,"Degenerative myopia, left eye",Progressive high (degenerative) myopia
36021,H4423,1,0,0,0,0,"Degenerative myopia, bilateral",Progressive high (degenerative) myopia
36021,H442A1,1,0,0,0,0,"Degenerative myopia with choroidal neovascularization, right eye",Progressive high (degenerative) myopia
36021,H442A2,1,0,0,0,0,"Degenerative myopia with choroidal neovascularization, left eye",Progressive high (degenerative) myopia
36021,H442A3,1,0,0,0,0,"Degenerative myopia with choroidal neovascularization, bilateral eye",Progressive high (degenerative) myopia
36021,H442A9,1,0,0,0,0,"Degenerative myopia with choroidal neovascularization, unspecified eye",Progressive high (degenerative) myopia
36021,H442B1,1,0,0,0,0,"Degenerative myopia with macular hole, right eye",Progressive high (degenerative) myopia
36021,H442B2,1,0,0,0,0,"Degenerative myopia with macular hole, left eye",Progressive high (degenerative) myopia
36021,H442B3,1,0,0,0,0,"Degenerative myopia with macular hole, bilateral eye",Progressive high (degenerative) myopia
36021,H442B9,1,0,0,0,0,"Degenerative myopia with macular hole, unspecified eye",Progressive high (degenerative) myopia
36021,H442C1,1,0,0,0,0,"Degenerative myopia with retinal detachment, right eye",Progressive high (degenerative) myopia
36021,H442C2,1,0,0,0,0,"Degenerative myopia with retinal detachment, left eye",Progressive high (degenerative) myopia
36021,H442C3,1,0,0,0,0,"Degenerative myopia with retinal detachment, bilateral eye",Progressive high (degenerative) myopia
36021,H442C9,1,0,0,0,0,"Degenerative myopia with retinal detachment, unspecified eye",Progressive high (degenerative) myopia
36021,H442D1,1,0,0,0,0,"Degenerative myopia with foveoschisis, right eye",Progressive high (degenerative) myopia
36021,H442D2,1,0,0,0,0,"Degenerative myopia with foveoschisis, left eye",Progressive high (degenerative) myopia
36021,H442D3,1,0,0,0,0,"Degenerative myopia with foveoschisis, bilateral eye",Progressive high (degenerative) myopia
36021,H442D9,1,0,0,0,0,"Degenerative myopia with foveoschisis, unspecified eye",Progressive high (degenerative) myopia
36021,H442E1,1,0,0,0,0,"Degenerative myopia with other maculopathy, right eye",Progressive high (degenerative) myopia
36021,H442E2,1,0,0,0,0,"Degenerative myopia with other maculopathy, left eye",Progressive high (degenerative) myopia
36021,H442E3,1,0,0,0,0,"Degenerative myopia with other maculopathy, bilateral eye",Progressive high (degenerative) myopia
36021,H442E9,1,0,0,0,0,"Degenerative myopia with other maculopathy, unspecified eye",Progressive high (degenerative) myopia
36023,H44329,1,0,0,0,0,"Siderosis of eye, unspecified eye",Siderosis of globe
36024,H44319,1,0,0,0,0,"Chalcosis, unspecified eye",Other metallosis of globe
36029,H44399,1,0,0,0,0,"Other degenerative disorders of globe, unspecified eye",Other degenerative disorders of globe
36030,H4440,0,0,0,0,0,Unspecified hypotony of eye,"Hypotony of eye, unspecified"
36031,H44449,1,0,0,0,0,Primary hypotony of unspecified eye,Primary hypotony of eye
36032,H44429,1,0,0,0,0,Hypotony of unspecified eye due to ocular fistula,Ocular fistula causing hypotony
36033,H44439,1,0,0,0,0,"Hypotony of eye due to other ocular disorders, unspecified eye",Hypotony associated with other ocular disorders
36034,H44419,1,0,0,0,0,Flat anterior chamber hypotony of unspecified eye,Flat anterior chamber of eye
36040,H4450,0,0,0,0,0,Unspecified degenerated conditions of globe,"Degenerated globe or eye, unspecified"
36041,H44529,1,0,0,0,0,"Atrophy of globe, unspecified eye",Blind hypotensive eye
36042,H44519,1,0,0,0,0,"Absolute glaucoma, unspecified eye",Blind hypertensive eye
36043,H44819,1,0,0,0,0,"Hemophthalmos, unspecified eye","Hemophthalmos, except current injury"
36044,H44539,1,0,0,0,0,"Leucocoria, unspecified eye",Leucocoria
36050,H44609,1,0,0,0,0,"Unspecified retained (old) intraocular foreign body, magnetic, unspecified eye","Foreign body, magnetic, intraocular, unspecified"
36051,H44619,1,0,0,0,0,"Retained (old) magnetic foreign body in anterior chamber, unspecified eye","Foreign body, magnetic, in anterior chamber of eye"
36052,H44629,1,0,0,0,0,"Retained (old) magnetic foreign body in iris or ciliary body, unspecified eye","Foreign body, magnetic, in iris or ciliary body"
36053,H44639,1,0,0,0,0,"Retained (old) magnetic foreign body in lens, unspecified eye","Foreign body, magnetic, in lens"
36054,H44659,1,0,0,0,0,"Retained (old) magnetic foreign body in vitreous body, unspecified eye","Foreign body, magnetic, in vitreous"
36055,H44649,1,0,0,0,0,"Retained (old) magnetic foreign body in posterior wall of globe, unspecified eye","Foreign body, magnetic, in posterior wall"
36059,H44699,1,0,0,0,0,"Retained (old) intraocular foreign body, magnetic, in other or multiple sites, unspecified eye","Intraocular foreign body, magnetic, in other or multiple sites"
36060,H44709,1,0,0,0,0,"Unspecified retained (old) intraocular foreign body, nonmagnetic, unspecified eye","Foreign body, intraocular, unspecified"
36061,H44719,1,0,0,0,0,"Retained (nonmagnetic) (old) foreign body in anterior chamber, unspecified eye",Foreign body in anterior chamber
36062,H44729,1,0,0,0,0,"Retained (nonmagnetic) (old) foreign body in iris or ciliary body, unspecified eye",Foreign body in iris or ciliary body
36063,H44739,1,0,0,0,0,"Retained (nonmagnetic) (old) foreign body in lens, unspecified eye",Foreign body in lens
36064,H44759,1,0,0,0,0,"Retained (nonmagnetic) (old) foreign body in vitreous body, unspecified eye",Foreign body in vitreous
36065,H44749,1,0,0,0,0,"Retained (nonmagnetic) (old) foreign body in posterior wall of globe, unspecified eye",Foreign body in posterior wall of eye
36069,H44799,1,0,0,0,0,"Retained (old) intraocular foreign body, nonmagnetic, in other or multiple sites, unspecified eye",Intraocular foreign body in other or multiple sites
36081,H44829,1,0,0,0,0,"Luxation of globe, unspecified eye",Luxation of globe
36089,H4489,0,0,0,0,0,Other disorders of globe,Other disorders of globe
3609,H449,0,0,0,0,0,Unspecified disorder of globe,Unspecified disorder of globe
36100,H33009,1,0,0,0,0,"Unspecified retinal detachment with retinal break, unspecified eye","Retinal detachment with retinal defect, unspecified"
36101,H33019,1,0,0,0,0,"Retinal detachment with single break, unspecified eye","Recent retinal detachment, partial, with single defect"
36102,H33029,1,0,0,0,0,"Retinal detachment with multiple breaks, unspecified eye","Recent retinal detachment, partial, with multiple defects"
36103,H33039,1,0,0,0,0,"Retinal detachment with giant retinal tear, unspecified eye","Recent retinal detachment, partial, with giant tear"
36104,H33049,1,0,0,0,0,"Retinal detachment with retinal dialysis, unspecified eye","Recent retinal detachment, partial, with retinal dialysis"
36105,H33059,1,0,0,0,0,"Total retinal detachment, unspecified eye","Recent retinal detachment, total or subtotal"
36106,H338,1,0,0,0,0,Other retinal detachments,"Old retinal detachment, partial"
36107,H33059,1,0,0,0,0,"Total retinal detachment, unspecified eye","Old retinal detachment, total or subtotal"
36110,H33109,1,0,0,0,0,"Unspecified retinoschisis, unspecified eye","Retinoschisis, unspecified"
36111,H33199,1,0,0,0,0,"Other retinoschisis and retinal cysts, unspecified eye",Flat retinoschisis
36112,H33199,1,0,0,0,0,"Other retinoschisis and retinal cysts, unspecified eye",Bullous retinoschisis
36113,H33199,1,0,0,0,0,"Other retinoschisis and retinal cysts, unspecified eye",Primary retinal cysts
36114,H33199,1,0,0,0,0,"Other retinoschisis and retinal cysts, unspecified eye",Secondary retinal cysts
36119,H33119,1,0,0,0,0,"Cyst of ora serrata, unspecified eye",Other retinoschisis and retinal cysts
36119,H33199,1,0,0,0,0,"Other retinoschisis and retinal cysts, unspecified eye",Other retinoschisis and retinal cysts
3612,H3323,1,0,0,0,0,"Serous retinal detachment, bilateral",Serous retinal detachment
36130,H33309,1,0,0,0,0,"Unspecified retinal break, unspecified eye","Retinal defect, unspecified"
36131,H33329,1,0,0,0,0,"Round hole, unspecified eye",Round hole of retina without detachment
36132,H33319,1,0,0,0,0,"Horseshoe tear of retina without detachment, unspecified eye",Horseshoe tear of retina without detachment
36133,H33339,1,0,0,0,0,"Multiple defects of retina without detachment, unspecified eye",Multiple defects of retina without detachment
36181,H3343,1,0,0,0,0,"Traction detachment of retina, bilateral",Traction detachment of retina
36189,H338,1,0,0,0,0,Other retinal detachments,Other forms of retinal detachment
3619,H3320,1,0,0,0,0,"Serous retinal detachment, unspecified eye",Unspecified retinal detachment
36201,E11319,1,0,0,0,0,Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema,Background diabetic retinopathy
36202,E113591,1,0,0,0,0,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",Proliferative diabetic retinopathy
36202,E113592,1,0,0,0,0,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",Proliferative diabetic retinopathy
36202,E113593,1,0,0,0,0,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",Proliferative diabetic retinopathy
36202,E113599,1,0,0,0,0,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",Proliferative diabetic retinopathy
36203,E113291,1,0,0,0,0,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",Nonproliferative diabetic retinopathy NOS
36203,E113292,1,0,0,0,0,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",Nonproliferative diabetic retinopathy NOS
36203,E113293,1,0,0,0,0,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",Nonproliferative diabetic retinopathy NOS
36203,E113299,1,0,0,0,0,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",Nonproliferative diabetic retinopathy NOS
36204,E113291,1,0,0,0,0,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",Mild nonproliferative diabetic retinopathy
36204,E113292,1,0,0,0,0,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",Mild nonproliferative diabetic retinopathy
36204,E113293,1,0,0,0,0,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",Mild nonproliferative diabetic retinopathy
36204,E113299,1,0,0,0,0,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",Mild nonproliferative diabetic retinopathy
36205,E113391,1,0,0,0,0,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",Moderate nonproliferative diabetic retinopathy
36205,E113392,1,0,0,0,0,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",Moderate nonproliferative diabetic retinopathy
36205,E113393,1,0,0,0,0,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",Moderate nonproliferative diabetic retinopathy
36205,E113399,1,0,0,0,0,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",Moderate nonproliferative diabetic retinopathy
36206,E113491,1,0,0,0,0,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",Severe nonproliferative diabetic retinopathy
36206,E113492,1,0,0,0,0,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",Severe nonproliferative diabetic retinopathy
36206,E113493,1,0,0,0,0,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",Severe nonproliferative diabetic retinopathy
36206,E113499,1,0,0,0,0,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",Severe nonproliferative diabetic retinopathy
36207,E11311,1,0,0,0,0,Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema,Diabetic macular edema
36210,H3500,0,0,0,0,0,Unspecified background retinopathy,"Background retinopathy, unspecified"
36211,H35039,1,0,0,0,0,"Hypertensive retinopathy, unspecified eye",Hypertensive retinopathy
36212,H35029,1,0,0,0,0,"Exudative retinopathy, unspecified eye",Exudative retinopathy
36213,H35019,1,0,0,0,0,"Changes in retinal vascular appearance, unspecified eye",Changes in vascular appearance of retina
36214,H35049,1,0,0,0,0,"Retinal micro-aneurysms, unspecified, unspecified eye",Retinal microaneurysms NOS
36215,H35079,1,0,0,0,0,"Retinal telangiectasis, unspecified eye",Retinal telangiectasia
36216,H35059,1,0,0,0,0,"Retinal neovascularization, unspecified, unspecified eye",Retinal neovascularization NOS
36217,H3509,0,0,0,0,0,Other intraretinal microvascular abnormalities,Other intraretinal microvascular abnormalities
36218,H35069,1,0,0,0,0,"Retinal vasculitis, unspecified eye",Retinal vasculitis
36220,H35109,1,0,0,0,0,"Retinopathy of prematurity, unspecified, unspecified eye","Retinopathy of prematurity, unspecified"
36221,H35179,1,0,0,0,0,"Retrolental fibroplasia, unspecified eye",Retrolental fibroplasia
36222,H35119,1,0,0,0,0,"Retinopathy of prematurity, stage 0, unspecified eye","Retinopathy of prematurity, stage 0"
36223,H35129,1,0,0,0,0,"Retinopathy of prematurity, stage 1, unspecified eye","Retinopathy of prematurity, stage 1"
36224,H35139,1,0,0,0,0,"Retinopathy of prematurity, stage 2, unspecified eye","Retinopathy of prematurity, stage 2"
36225,H35149,1,0,0,0,0,"Retinopathy of prematurity, stage 3, unspecified eye","Retinopathy of prematurity, stage 3"
36226,H35159,1,0,0,0,0,"Retinopathy of prematurity, stage 4, unspecified eye","Retinopathy of prematurity, stage 4"
36227,H35169,1,0,0,0,0,"Retinopathy of prematurity, stage 5, unspecified eye","Retinopathy of prematurity, stage 5"
36229,H3523,1,0,0,0,0,"Other non-diabetic proliferative retinopathy, bilateral",Other nondiabetic proliferative retinopathy
36230,H349,0,0,0,0,0,Unspecified retinal vascular occlusion,"Retinal vascular occlusion, unspecified"
36231,H3413,1,0,0,0,0,"Central retinal artery occlusion, bilateral",Central retinal artery occlusion
36232,H34239,1,0,0,0,0,"Retinal artery branch occlusion, unspecified eye",Retinal arterial branch occlusion
36233,H34219,1,0,0,0,0,"Partial retinal artery occlusion, unspecified eye",Partial retinal arterial occlusion
36234,H3400,1,0,0,0,0,"Transient retinal artery occlusion, unspecified eye",Transient retinal arterial occlusion
36235,H348110,1,0,0,0,0,"Central retinal vein occlusion, right eye, with macular edema",Central retinal vein occlusion
36235,H348111,1,0,0,0,0,"Central retinal vein occlusion, right eye, with retinal neovascularization",Central retinal vein occlusion
36235,H348112,1,0,0,0,0,"Central retinal vein occlusion, right eye, stable",Central retinal vein occlusion
36235,H348120,1,0,0,0,0,"Central retinal vein occlusion, left eye, with macular edema",Central retinal vein occlusion
36235,H348121,1,0,0,0,0,"Central retinal vein occlusion, left eye, with retinal neovascularization",Central retinal vein occlusion
36235,H348122,1,0,0,0,0,"Central retinal vein occlusion, left eye, stable",Central retinal vein occlusion
